"UNITID","d1_id","school_name","2018_total_assets","2019_total_assets","2020_total_assets","2021_total_assets","2022_total_assets"
200800,2,"University of Akron Main Campus",222853731,221783033,200596835,259138518,235755727
100751,3,"The University of Alabama",553887777,616255540,725759658,872046615,867733598
197869,4,"Appalachian State University",113683565,129658257,179419525,192527042,223465276
104179,5,"University of Arizona",433680000,376777000,505400000,569821000,432206000
104151,6,"Arizona State University Campus Immersion",258604000,553944000,615874000,773109000,813375000
106397,7,"University of Arkansas",558376658,592522447,615160306,645298702,682511240
106458,8,"Arkansas State University",43693446,48632622,55728483,73950888,68872801
100858,9,"Auburn University",577450217,516461513,475539565,409001160,307029186
150136,10,"Ball State University",281523471,249497935,220317042,218475943,163560131
142115,11,"Boise State University",148303441,173456463,179264963,209531629,234363905
201441,12,"Bowling Green State University-Main Campus",245346192,254000414,243152119,321609430,296677086
196088,13,"University at Buffalo",438432750,498039815,537126884,694664299,787653630
110635,14,"University of California-Berkeley",NA,NA,NA,NA,NA
169248,15,"Central Michigan University",116651734,117807239,112266426,152059403,124659721
199139,16,"University of North Carolina at Charlotte",330704568,347777231,369214108,399255169,497661963
201885,17,"University of Cincinnati-Main Campus",338799471,334321987,333944565,548181093,585277632
217882,18,"Clemson University",610157925,643988928,631840875,772316024,1100383017
218724,19,"Coastal Carolina University",119447811,116751216,101121394,155938671,186109583
126614,20,"University of Colorado Boulder",980476453,936403093,951223450,1017043064,1230746972
126818,21,"Colorado State University-Fort Collins",505799282,393727932,415543753,423164617,480137051
129020,22,"University of Connecticut",1228459302,1176739003,956640444,1037117825,1299646535
198464,23,"East Carolina University",365922132,334422359,341912285,380744880,437310173
169798,24,"Eastern Michigan University",76172091,51770433,55089572,69088224,75379950
133669,25,"Florida Atlantic University",336712479,335746854,382862613,442513335,483935052
133951,26,"Florida International University",454257765,515026575,541293415,681291941,654963321
134130,27,"University of Florida",1714331000,1904336000,1921021000,2121805000,2266586000
134097,28,"Florida State University",792009075,800831952,843215079,952857859,1072401502
110556,29,"California State University-Fresno",109947524,98515182,104237961,111289468,143332265
139959,30,"University of Georgia",411714329,449120250,469882454,521981313,646827751
139931,31,"Georgia Southern University",93852449,93842519,94801498,103444221,133205605
139940,32,"Georgia State University",259289877,316908195,353939156,442194731,468352507
139755,33,"Georgia Institute of Technology-Main Campus",464877108,542651319,561111306,627805275,771033642
225511,34,"University of Houston",841709077,902447567,1038257742,1139514647,1272068304
145637,35,"University of Illinois Urbana-Champaign",663042196,686054869,907251427,766762410,997932916
151351,36,"Indiana University-Bloomington",318762801,364189223,444275718,330329672,340465124
153658,37,"University of Iowa",863873000,877479000,892398000,1024954000,1371895000
153603,38,"Iowa State University",406488847,377592231,369245376,308432828,281433456
155317,39,"University of Kansas",440072875,488472198,501060104,570270762,675310527
155399,40,"Kansas State University",304702031,311220393,311125556,337220733,360428958
203517,41,"Kent State University at Kent",444135000,427300000,385172000,440112000,388505000
157085,42,"University of Kentucky",1100971558,1037832739,1539068569,1780676180,2046783066
159647,43,"Louisiana Tech University",51011972,53339659,56760782,54052935,59510773
160658,44,"University of Louisiana at Lafayette",79049736,70604892,61012239,65345514,73918605
159993,45,"University of Louisiana at Monroe",38776139,34486846,35577653,31822032,33929402
157289,46,"University of Louisville",194090000,242335000,261092000,392509000,436636000
159391,47,"Louisiana State University and Agricultural & Mechanical College",454921824,466559650,501796254,566307136,585054578
237525,48,"Marshall University",102141395,100117780,89091931,105478611,90150815
163286,49,"University of Maryland-College Park",767486545,835493600,904047130,888936182,1069400379
166629,50,"University of Massachusetts-Amherst",295508000,289548000,358881000,346918379,463034827
220862,51,"University of Memphis",39061745,44053312,40388290,50691846,51514944
204024,52,"Miami University-Oxford",742497225,742062982,740363380,1025833863,977010991
170976,53,"University of Michigan-Ann Arbor",2630419000,2813496000,3955459000,4730760000,6386891000
171100,54,"Michigan State University",635913083,739090700,826489942,1135463839,1615441903
220978,55,"Middle Tennessee State University",85349148,90798083,85506833,93678889,93735810
174066,56,"University of Minnesota-Twin Cities",1051394529,1037214070,1126996435,1321312699,1469130256
176080,57,"Mississippi State University",228925446,276967480,326522263,397884771,411990889
178396,58,"University of Missouri-Columbia",1357693007,1323410600,1275078205,1746680722,1615189598
199193,59,"North Carolina State University at Raleigh",436701540,474267240,476358676,487814497,509523173
181464,60,"University of Nebraska-Lincoln",579937828,584544905,527807866,565206912,635978498
182290,61,"University of Nevada-Reno",205023352,185137934,251464996,304376774,320601731
187985,62,"University of New Mexico-Main Campus",1120122206,1224804149,1439756945,1500521932,1359183834
188030,63,"New Mexico State University-Main Campus",126047504,119984581,166478340,191192241,164496600
199120,64,"University of North Carolina at Chapel Hill",1485705971,1681983337,1734944473,2054701062,2299923801
227216,65,"University of North Texas",421563251,361179777,356048075,431565834,525312358
147703,66,"Northern Illinois University",151759334,137383384,125814349,111408867,100906719
204857,67,"Ohio University-Main Campus",447630650,476527774,454790253,522021588,530300642
204796,68,"Ohio State University-Main Campus",4056535265,4398175514,4698108889,4779282725,4377278339
207500,69,"University of Oklahoma-Norman Campus",266162000,274293000,303011000,338905000,443942000
207388,70,"Oklahoma State University-Main Campus",226689113,226976991,250809807,304449109,320575597
232982,71,"Old Dominion University",162453486,158416705,139678882,157252825,241112148
176017,72,"University of Mississippi",773301268,853078631,988815115,917651548,779676555
209551,73,"University of Oregon",285087732,294951460,238927921,299558544,346383188
209542,74,"Oregon State University",230757282,380409963,408805771,401468607,336925464
214777,75,"Pennsylvania State University-Main Campus",NA,NA,NA,NA,NA
243780,76,"Purdue University-Main Campus",491453507,633529949,761765215,609872722,377894305
186380,77,"Rutgers University-New Brunswick",898157000,943234000,1063367000,1338435000,1335173000
122409,78,"San Diego State University",433558591,446397751,446177321,427394415,454570501
122755,79,"San Jose State University",258171152,236680071,222926633,273283623,252449384
102094,80,"University of South Alabama",182139000,224156000,355235000,363476000,362646000
218663,81,"University of South Carolina-Columbia",751164935,738801041,800952094,1163909971,1225035804
137351,82,"University of South Florida",831069031,793450860,828088878,916757063,950529073
176372,83,"University of Southern Mississippi",75371501,90314664,132655185,174130247,157015431
221759,84,"The University of Tennessee-Knoxville",282057311,258094318,245997476,294184732,331875400
228778,85,"The University of Texas at Austin",1393874565,1525729960,1710757268,1870570791,1970855570
228723,86,"Texas A & M University-College Station",1085492416,1133517440,1225533698,1378026547,1549222787
228459,87,"Texas State University",578738089,431044616,522380621,579013098,665188020
229115,88,"Texas Tech University",350804059,272445498,267084545,374472432,363389308
206084,89,"University of Toledo",166278305,170594107,223671930,301365231,281763025
100663,90,"University of Alabama at Birmingham",1580145078,1817826648,2275161243,2589430410,2358340043
132903,91,"University of Central Florida",628594151,601080401,623245054,707507603,700434492
110662,92,"University of California-Los Angeles",NA,NA,NA,NA,NA
182281,93,"University of Nevada-Las Vegas",431300000,434040000,408086000,499508000,523710000
230764,94,"University of Utah",2057009000,2293302000,2648916000,3132119000,2830671000
230728,95,"Utah State University",169569093,171661911,256423232,375769332,334890631
228796,96,"The University of Texas at El Paso",186584124,183375949,172166188,218189796,210083249
229027,97,"The University of Texas at San Antonio",205243096,234184306,231269647,329111566,285264527
234076,98,"University of Virginia-Main Campus",621307370,883279252,1019937273,1156355401,1141679587
233921,99,"Virginia Polytechnic Institute and State University",298077018,289389904,307742805,391012703,427403441
236948,100,"University of Washington-Seattle Campus",1486001796,1574437794,2029039455,2705721361,2759637727
236939,101,"Washington State University",235803464,282210707,250219388,361712047,577225763
238032,102,"West Virginia University",278945424,299210851,306798604,344331323,361110573
157951,103,"Western Kentucky University",100172001,114008450,125493085,154303864,132975992
172699,104,"Western Michigan University",289210560,133940245,129208678,201132484,229652683
240444,105,"University of Wisconsin-Madison",1256704518,1412547593,1479917178,1685416941,1873708152
240727,106,"University of Wyoming",373656575,434280000,372540000,215221000,191676000
