"UNITID","d1_id","school_name","2018_grad_rate_total","2019_grad_rate_total","2020_grad_rate_total","2021_grad_rate_total","2022_grad_rate_total.y"
100663,90,"University of Alabama at Birmingham",10192,10837,10686,9943,12224
100751,3,"The University of Alabama",40678,41134,43762,46222,48647
100858,9,"Auburn University",25167,24310,29914,32103,29649
102094,80,"University of South Alabama",11094,10853,11986,12388,11629
104151,6,"Arizona State University Campus Immersion",40724,44378,67207,71491,72219
104179,5,"University of Arizona",43731,39458,43868,43799,38069
106397,7,"University of Arkansas",28700,27174,28756,31113,31522
106458,8,"Arkansas State University",9708,9505,10133,9312,9686
110556,29,"California State University-Fresno",18458,19392,20833,21687,19648
110635,14,"University of California-Berkeley",28179,32047,37185,37778,42653
110662,92,"University of California-Los Angeles",38187,38822,39253,38789,44731
122409,78,"San Diego State University",24819,28614,31155,32321,31568
122755,79,"San Jose State University",20784,22868,21434,21225,19519
126614,20,"University of Colorado Boulder",34794,36883,37425,39989,41386
126818,21,"Colorado State University-Fort Collins",28247,27604,27168,29486,30705
129020,22,"University of Connecticut",20751,24974,23783,25057,25325
132903,91,"University of Central Florida",38113,37473,40207,40892,39982
133669,25,"Florida Atlantic University",18259,19794,17843,20017,18744
133951,26,"Florida International University",25298,26518,23876,23992,26425
134097,28,"Florida State University",38267,40594,40559,40118,41495
134130,27,"University of Florida",42133,42911,43819,46678,46232
137351,82,"University of South Florida",24575,25005,29987,30888,30651
139755,33,"Georgia Institute of Technology-Main Campus",20524,18146,19029,21083,19641
139931,31,"Georgia Southern University",27270,26429,25765,26226,26985
139940,32,"Georgia State University",19205,20646,22068,22015,23389
139959,30,"University of Georgia",32999,35134,35285,35427,36480
142115,11,"Boise State University",13192,12499,13330,13082,15611
145637,35,"University of Illinois Urbana-Champaign",46202,49051,46556,50596,50713
147703,66,"Northern Illinois University",15544,15708,14889,13445,10814
150136,10,"Ball State University",21966,23023,22963,22342,24452
151351,36,"Indiana University-Bloomington",49693,49848,50719,51900,50671
153603,38,"Iowa State University",34694,39165,39008,40286,39809
153658,37,"University of Iowa",27751,27511,28011,31362,33806
155317,39,"University of Kansas",22985,24662,24885,25468,26184
155399,40,"Kansas State University",23761,23670,23437,22660,22498
157085,42,"University of Kentucky",28946,29166,32483,32812,32134
157289,46,"University of Louisville",16144,17264,17478,16722,17034
157951,103,"Western Kentucky University",19276,18218,18536,18540,18798
159391,47,"Louisiana State University and Agricultural & Mechanical College",36032,34794,35871,35633,34766
159647,43,"Louisiana Tech University",7665,9303,11222,11880,12419
159993,45,"University of Louisiana at Monroe",7550,7811,7474,8341,8068
160658,44,"University of Louisiana at Lafayette",16124,16149,17492,18899,18147
163286,49,"University of Maryland-College Park",26252,27090,27921,26855,30918
166629,50,"University of Massachusetts-Amherst",30595,30922,31139,31254,31073
169248,15,"Central Michigan University",20830,18375,23644,21418,21565
169798,24,"Eastern Michigan University",15399,16864,15370,16974,16443
170976,53,"University of Michigan-Ann Arbor",41856,42390,44475,41578,45801
171100,54,"Michigan State University",54123,52292,52168,52954,52968
172699,104,"Western Michigan University",18073,19352,18214,18079,17633
174066,56,"University of Minnesota-Twin Cities",36294,36820,36902,38470,39162
176017,72,"University of Mississippi",21045,22488,23774,24806,24719
176080,57,"Mississippi State University",17708,19593,18606,21411,22643
176372,83,"University of Southern Mississippi",11446,10318,9571,9135,9367
178396,58,"University of Missouri-Columbia",40670,38902,41366,38893,30368
181464,60,"University of Nebraska-Lincoln",24976,27450,28919,28795,30070
182281,93,"University of Nevada-Las Vegas",17540,21120,21882,21728,22308
182290,61,"University of Nevada-Reno",17564,18898,20640,23808,21889
186380,77,"Rutgers University-New Brunswick",40512,42474,42668,43885,42997
187985,62,"University of New Mexico-Main Campus",20232,21083,18766,19937,20279
188030,63,"New Mexico State University-Main Campus",12070,11328,11122,11860,10983
196088,13,"University at Buffalo",22291,22375,21629,22226,25373
197869,4,"Appalachian State University",19476,18607,19548,19661,20316
198464,23,"East Carolina University",25120,28183,26292,26770,26870
199120,64,"University of North Carolina at Chapel Hill",26560,26849,27088,27851,28816
199139,16,"University of North Carolina at Charlotte",21692,19199,20789,21694,21993
199193,59,"North Carolina State University at Raleigh",28913,28439,29919,29034,29187
200800,2,"University of Akron Main Campus",22485,20920,21569,23144,17662
201441,12,"Bowling Green State University-Main Campus",21934,20625,18798,20958,21791
201885,17,"University of Cincinnati-Main Campus",26060,28425,29429,28344,32004
203517,41,"Kent State University at Kent",25042,26742,26668,27230,27152
204024,52,"Miami University-Oxford",24537,23974,24143,25231,25108
204796,68,"Ohio State University-Main Campus",48052,47791,47638,47453,53585
204857,67,"Ohio University-Main Campus",24319,26707,27577,27952,27000
206084,89,"University of Toledo",19761,19614,20278,19877,20041
207388,70,"Oklahoma State University-Main Campus",25843,23301,24234,24862,24688
207500,69,"University of Oklahoma-Norman Campus",25759,23652,24837,25179,23792
209542,74,"Oregon State University",21066,22533,22039,21245,22543
209551,73,"University of Oregon",25562,25383,25220,26243,25484
214777,75,"Pennsylvania State University-Main Campus",50953,104223,NA,NA,56261
217882,18,"Clemson University",22867,21922,23240,23055,24675
218663,81,"University of South Carolina-Columbia",29895,32664,32403,33822,33506
218724,19,"Coastal Carolina University",12912,12372,14036,14193,13376
220862,51,"University of Memphis",12588,12592,13892,12465,15781
220978,55,"Middle Tennessee State University",18565,19138,18274,16963,17465
221759,84,"The University of Tennessee-Knoxville",27071,27461,30115,30280,31226
225511,34,"University of Houston",20734,20677,24398,25026,26693
227216,65,"University of North Texas",26448,26257,25922,27401,28136
228459,87,"Texas State University",26609,32328,31842,33953,34073
228723,86,"Texas A & M University-College Station",51017,59820,63107,60192,59737
228778,85,"The University of Texas at Austin",53468,47778,47502,51108,57898
228796,96,"The University of Texas at El Paso",15696,17005,17124,17428,17862
229027,97,"The University of Texas at San Antonio",25801,20789,29308,29472,26132
229115,88,"Texas Tech University",27848,29377,34563,31721,29541
230728,95,"Utah State University",17938,19787,20241,24296,23203
230764,94,"University of Utah",17807,16280,16627,18384,20409
232982,71,"Old Dominion University",15820,17360,16558,17313,16083
233921,99,"Virginia Polytechnic Institute and State University",36510,35930,36710,42460,39796
234076,98,"University of Virginia-Main Campus",23360,24224,25498,25234,25414
236939,101,"Washington State University",26435,25171,26887,28633,27787
236948,100,"University of Washington-Seattle Campus",40119,41624,41966,44959,42879
237525,48,"Marshall University",11231,10983,10991,11464,11263
238032,102,"West Virginia University",31557,30408,30178,29880,31830
240444,105,"University of Wisconsin-Madison",42321,42695,42247,42454,43516
240727,106,"University of Wyoming",9642,9696,9580,10380,9528
243780,76,"Purdue University-Main Campus",42578,42376,43459,46428,49138
